Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.09     0.00    73730     0.00     0.28  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::operator=(std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > > const&)
  0.00      0.09     0.00    73728     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > const*)
  0.00      0.09     0.00    73728     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > const*)
  0.00      0.09     0.00    61454     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.09     0.00    61442     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::allocate(unsigned long, void const*)
  0.00      0.09     0.00    61442     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, unsigned long long> >::construct(std::pair<std::string const, unsigned long long>*, std::pair<std::string const, unsigned long long> const&)
  0.00      0.09     0.00    61442     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::max_size() const
  0.00      0.09     0.00    61442     0.00     0.00  std::pair<std::string const, unsigned long long>::pair(std::pair<std::string const, unsigned long long> const&)
  0.00      0.09     0.00    61442     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_get_node()
  0.00      0.09     0.00    61441     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*, unsigned long)
  0.00      0.09     0.00    61441     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, unsigned long long> >::destroy(std::pair<std::string const, unsigned long long>*)
  0.00      0.09     0.00    61441     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*)
  0.00      0.09     0.00    61441     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*)
  0.00      0.09     0.00    49154     0.00     0.00  inode_manager::put_inode(unsigned int, inode*)
  0.00      0.09     0.00    49153     0.00     0.08  getattr(unsigned long long, stat&)
  0.00      0.09     0.00    49153     0.00     0.04  yfs_client::isfile(unsigned long long)
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_begin() const
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree_node_base::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree_node_base::_S_minimum(std::_Rb_tree_node_base*)
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_minimum(std::_Rb_tree_node_base*)
  0.00      0.09     0.00    49153     0.00     0.16  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_clone_node(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > const*)
  0.00      0.09     0.00    49153     0.00     0.16  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_copy(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > const*, std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*)
  0.00      0.09     0.00    49153     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.09     0.00    49152     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> >::operator->() const
  0.00      0.09     0.00    49152     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, unsigned long long> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&)
  0.00      0.09     0.00    49152     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.09     0.00    49152     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.09     0.00    24577     0.00     0.04  yfs_client::isdir(unsigned long long)
  0.00      0.09     0.00    24577     0.00     0.00  yfs_client::getdir(unsigned long long, yfs_client::dirinfo&)
  0.00      0.09     0.00    24577     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::begin()
  0.00      0.09     0.00    24576     0.00     0.04  yfs_client::getfile(unsigned long long, yfs_client::fileinfo&)
  0.00      0.09     0.00    24576     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, unsigned long long> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, unsigned long long> > const&) const
  0.00      0.09     0.00    24576     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::size() const
  0.00      0.09     0.00    13311     0.00     0.00  inode_manager::freeNode::freeNode(unsigned int)
  0.00      0.09     0.00    12289     0.00     1.47  fuseserver_createhelper(unsigned long, char const*, unsigned int, fuse_entry_param*, int)
  0.00      0.09     0.00    12289     0.00     0.00  extent_client::create(unsigned int, unsigned long long&)
  0.00      0.09     0.00    12289     0.00     0.00  extent_server::create(unsigned int, unsigned long long&)
  0.00      0.09     0.00    12289     0.00     0.00  inode_manager::alloc_inode(unsigned int)
  0.00      0.09     0.00    12289     0.00     0.98  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::insert(std::pair<std::string const, unsigned long long> const&)
  0.00      0.09     0.00    12289     0.00     0.00  std::pair<std::string const, unsigned long long>::pair<std::string, unsigned long long>(std::pair<std::string, unsigned long long> const&)
  0.00      0.09     0.00    12289     0.00     0.00  std::pair<std::string, unsigned long long>::pair(std::string const&, unsigned long long const&)
  0.00      0.09     0.00    12289     0.00     0.00  std::pair<std::string, unsigned long long>::~pair()
  0.00      0.09     0.00    12289     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> >, bool>::pair(std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&, bool const&)
  0.00      0.09     0.00    12289     0.00     0.98  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_insert_unique(std::pair<std::string const, unsigned long long> const&)
  0.00      0.09     0.00    12288     0.00     1.22  yfs_client::write(unsigned long long, unsigned long, long, char const*, unsigned long&)
  0.00      0.09     0.00    12288     0.00     1.39  yfs_client::create(unsigned long long, char const*, unsigned int, unsigned long long&)
  0.00      0.09     0.00    12288     0.00     1.92  yfs_client::unlink(unsigned long long, char const*)
  0.00      0.09     0.00    12288     0.00     0.00  extent_client::get(unsigned long long, std::string&)
  0.00      0.09     0.00    12288     0.00     1.22  extent_client::put(unsigned long long, std::string)
  0.00      0.09     0.00    12288     0.00     1.22  extent_client::remove(unsigned long long)
  0.00      0.09     0.00    12288     0.00     0.00  extent_server::get(unsigned long long, std::string&)
  0.00      0.09     0.00    12288     0.00     1.22  extent_server::put(unsigned long long, std::string, int&)
  0.00      0.09     0.00    12288     0.00     1.22  extent_server::remove(unsigned long long, int&)
